name, x, y, z
lever1_hinge,172.0261,116.4689, 44.96679
lever1_hinge_world,-1.152372,11.509,16.67377
lever2_hinge,87.25107,91.19269, 42.63159
lever2_hinge_world,6.946197,13.55727,17.69794
ladle_hinge,55.78692,117.9484, 41.63511
ladle_hinge_world,9.712042,11.09068,18.04771
ladle_tip,65.37137,142.4203, 41.76091
ladle_tip_world,8.859739,8.966118,17.93993
springhinge2,95.20962,79.56041, 42.87589
springhinge2_world,6.232161,14.63339,17.64896
springhinge1,128.9739,82.00201, 43.83196
springhinge1_world,3.075877,14.56664,17.24981
body_back,224.0105,120.3653, 46.12238
body_back_world,-6.405909,11.234,16.44282
