name, x, y, z
lever1_hinge,164.7793,120.4421, 44.91662
lever1_hinge_world,-1.117769,11.509,16.7842
lever2_hinge,87.02547,81.49472, 41.74912
lever2_hinge_world,6.44943,14.62852,18.74308
ladle_hinge,81.35643,123.367, 41.27023
ladle_hinge_world,6.931774,10.93961,18.86794
ladle_tip,100.2536,140.6042, 41.93414
ladle_tip_world,5.218187,9.484053,18.42435
springhinge2,85.53964,66.75777, 41.73317
springhinge2_world,6.596388,15.91002,18.82347
springhinge1,128.3873,79.41257, 43.47934
springhinge1_world,2.570838,15.10884,17.7814
body_back,213.4134,124.9205, 46.78358
body_back_world,-6.299287,11.234,15.88707
