name, x, y, z
lever1_hinge,173.4408,124.7571, 44.9551
lever1_hinge_world,-1.148334,11.509,16.68446
lever2_hinge,94.84155,83.06909, 42.86946
lever2_hinge_world,6.410542,15.05672,17.73717
ladle_hinge,56.67719,97.63339, 41.68965
ladle_hinge_world,9.796784,13.58455,18.20876
ladle_tip,50.34879,122.9266, 41.34837
ladle_tip_world,10.31462,11.35331,18.28088
springhinge2,105.9064,74.86374, 43.20991
springhinge2_world,5.399623,15.85575,17.63778
springhinge1,137.2456,82.58617, 44.09863
springhinge1_world,2.426981,15.31496,17.22378
body_back,225.1937,128.6945, 46.15339
body_back_world,-6.398549,11.234,16.38742
