name, x, y, z
lever1_hinge,156.8531,130.693, 44.86837
lever1_hinge_world,-1.09874,11.509,16.88762
lever2_hinge,96.22347,67.15968, 41.75742
lever2_hinge_world,5.029585,16.76768,19.25849
ladle_hinge,101.895,109.3561, 41.7423
ladle_hinge_world,4.475024,13.09307,19.04395
ladle_tip,121.4138,122.8758, 42.75222
ladle_tip_world,2.585895,12.02123,18.3131
springhinge2,91.25267,53.00117, 41.54373
springhinge2_world,5.506853,17.94676,19.48709
springhinge1,134.0419,79.83176, 43.82834
springhinge1_world,1.319004,16.06471,17.86693
body_back,201.877,135.6744, 47.35556
body_back_world,-6.141849,11.234,15.39764
