name, x, y, z
lever1_hinge,167.2139,119.5965, 44.66649
lever1_hinge_world,-1.091946,11.509,17.01838
lever2_hinge,100.8987,76.17737, 39.85172
lever2_hinge_world,5.691333,14.70094,20.84326
ladle_hinge,83.49762,114.0991, 38.49509
ladle_hinge_world,7.207948,11.41083,21.69843
ladle_tip,87.39612,142.2178, 38.59689
ladle_tip_world,6.858338,9.154568,21.5013
springhinge2,104.0104,61.66399, 40.09626
springhinge2_world,5.418612,15.95972,20.73655
springhinge1,137.1227,76.37935, 42.43951
springhinge1_world,2.186836,15.14415,18.91425
body_back,207.4456,125.0314, 47.71147
body_back_world,-5.868401,11.234,14.81873
