name, x, y, z
lever1_hinge,163.1215,120.2056, 44.79684
lever1_hinge_world,-1.095738,11.509,16.91509
lever2_hinge,89.88435,81.85762, 40.54741
lever2_hinge_world,6.190718,14.38496,19.99202
ladle_hinge,88.72273,125.5289, 40.23359
ladle_hinge_world,6.271961,10.6636,20.02633
ladle_tip,109.6497,137.5526, 41.33922
ladle_tip_world,4.35229,9.709908,19.21569
springhinge2,87.09608,66.7554, 40.43229
springhinge2_world,6.453731,15.64071,20.14759
springhinge1,128.8074,79.31297, 42.79698
springhinge1_world,2.509163,14.98879,18.48187
body_back,207.281,125.2592, 47.37431
body_back_world,-6.091182,11.234,15.27237
