name, x, y, z
lever1_hinge,165.591,125.4504, 44.96297
lever1_hinge_world,-1.130296,11.509,16.73825
lever2_hinge,91.58607,76.61856, 42.47806
lever2_hinge_world,6.065458,15.62068,18.20327
ladle_hinge,69.86481,110.9917, 41.46702
ladle_hinge_world,7.985884,12.45597,18.59426
ladle_tip,85.99297,131.6104, 41.8912
ladle_tip_world,6.538799,10.70356,18.29964
springhinge2,95.80708,63.17583, 42.6851
springhinge2_world,5.690295,16.85695,18.16873
springhinge1,133.3363,80.19975, 43.98242
springhinge1_world,2.113836,15.57611,17.44058
body_back,215.6244,129.709, 46.55807
body_back_world,-6.351724,11.234,16.11401
