name, x, y, z
lever1_hinge,174.0533,113.8462, 44.8861
lever1_hinge_world,-1.133602,11.509,16.7275
lever2_hinge,89.67206,91.82628, 42.03989
lever2_hinge_world,6.96574,13.19577,18.27236
ladle_hinge,61.74126,122.6362, 40.99593
ladle_hinge_world,9.398846,10.41712,18.73645
ladle_tip,59.59418,149.2831, 40.80455
ladle_tip_world,9.563828,8.131598,18.76792
springhinge2,96.19762,79.13173, 42.27586
springhinge2_world,6.385963,14.34877,18.20351
springhinge1,130.5842,80.88675, 43.44299
springhinge1_world,3.178471,14.37574,17.59172
body_back,224.6491,117.9933, 46.34016
body_back_world,-6.362355,11.234,16.16793
