name, x, y, z
lever1_hinge,165.9248,118.8203, 44.81251
lever1_hinge_world,-1.100174,11.509,16.87666
lever2_hinge,90.82579,81.129, 40.87488
lever2_hinge_world,6.311327,14.38312,19.64074
ladle_hinge,79.99757,122.4249, 40.10966
ladle_hinge_world,7.245811,10.79682,19.98926
ladle_tip,95.53311,143.5982, 40.76337
ladle_tip_world,5.859979,9.046347,19.47242
springhinge2,91.27159,66.13792, 40.93532
springhinge2_world,6.283773,15.67479,19.67422
springhinge1,130.5595,78.24579, 42.96025
springhinge1_world,2.568934,14.98787,18.28879
body_back,211.5308,123.6968, 47.16687
body_back_world,-6.161041,11.234,15.44816
