name, x, y, z
lever1_hinge,163.3627,119.4767, 45.12713
lever1_hinge_world,-1.188191,11.509,16.59273
lever2_hinge,79.47432,88.10553, 43.51716
lever2_hinge_world,6.775976,14.22058,16.81743
ladle_hinge,88.97309,127.8344, 43.46966
ladle_hinge_world,5.88405,10.6067,16.79227
ladle_tip,110.8589,139.7303, 43.85432
ladle_tip_world,3.854565,9.543819,16.73501
springhinge2,72.7953,75.44739, 43.41498
springhinge2_world,7.396565,15.35272,16.87596
springhinge1,122.1042,82.18817, 44.41878
springhinge1_world,2.810718,14.90666,16.74657
body_back,216.9666,123.021, 45.87215
body_back_world,-6.439234,11.234,16.87475
