name, x, y, z
lever1_hinge,164.1762,116.8203, 44.69633
lever1_hinge_world,-1.091773,11.509,17.00488
lever2_hinge,93.34618,86.59044, 39.59937
lever2_hinge_world,6.076113,13.56401,20.90738
ladle_hinge,85.79623,130.1946, 38.89453
ladle_hinge_world,6.721693,9.914897,21.25886
ladle_tip,106.5123,141.3858, 40.1996
ladle_tip_world,4.856842,9.052754,20.24356
springhinge2,92.9292,71.00592, 39.59974
springhinge2_world,6.126285,14.8533,20.98137
springhinge1,129.6036,79.48708, 42.12902
springhinge1_world,2.634076,14.57016,19.08007
body_back,204.8938,122.2219, 47.70741
body_back_world,-5.900393,11.234,14.87646
