name, x, y, z
lever1_hinge,170.0355,115.6924, 44.96276
lever1_hinge_world,-1.145672,11.509,16.69174
lever2_hinge,85.50732,90.75958, 42.42041
lever2_hinge_world,6.943976,13.49788,17.88886
ladle_hinge,61.8651,124.8183, 41.54993
ladle_hinge_world,9.015017,10.42003,18.19533
ladle_tip,76.74089,146.3784, 41.86988
ladle_tip_world,7.696852,8.555572,18.00027
springhinge2,90.35994,77.33557, 42.5955
springhinge2_world,6.515447,14.71696,17.86689
springhinge1,127.0772,81.36452, 43.71204
springhinge1_world,3.091344,14.53554,17.36019
body_back,221.4882,119.6943, 46.24762
body_back_world,-6.393159,11.234,16.3499
