name, x, y, z
lever1_hinge,161.8024,115.903, 44.94217
lever1_hinge_world,-1.121152,11.509,16.77082
lever2_hinge,78.68642,93.65952, 41.52704
lever2_hinge_world,6.902117,13.14192,18.71809
ladle_hinge,101.9511,128.8579, 42.27444
ladle_hinge_world,4.772827,10.13271,18.2013
ladle_tip,124.4174,136.9022, 43.16596
ladle_tip_world,2.643729,9.460604,17.68456
springhinge2,67.84734,83.54729, 41.11287
springhinge2_world,7.86765,13.95529,18.99462
springhinge1,119.1924,82.78148, 43.19962
springhinge1_world,3.160836,14.34698,17.85226
body_back,210.771,120.3433, 46.76892
body_back_world,-6.315711,11.234,15.95256
