name, x, y, z
lever1_hinge,160.9545,128.941, 44.95316
lever1_hinge_world,-1.118953,11.509,16.77942
lever2_hinge,90.96481,74.86403, 42.26915
lever2_hinge_world,5.755609,16.04162,18.51921
ladle_hinge,83.06984,115.4962, 41.635
ladle_hinge_world,6.444273,12.38762,18.6935
ladle_tip,106.3969,123.3216, 42.54667
ladle_tip_world,4.297361,11.79825,18.15016
springhinge2,90.3064,60.34456, 42.30864
springhinge2_world,5.831016,17.33035,18.58059
springhinge1,131.8258,81.58279, 43.95542
springhinge1_world,1.853351,15.76261,17.57393
body_back,209.6452,133.4249, 46.82505
body_back_world,-6.305267,11.234,15.91043
