name, x, y, z
lever1_hinge,163.1221,121.0527, 44.71692
lever1_hinge_world,-1.091761,11.509,16.99881
lever2_hinge,93.17014,85.90953, 39.77814
lever2_hinge_world,5.995346,13.99584,20.79613
ladle_hinge,87.94572,129.8345, 39.19005
ladle_hinge_world,6.437118,10.30733,21.03284
ladle_tip,110.0568,129.0202, 40.65778
ladle_tip_world,4.422725,10.47784,19.95351
springhinge2,91.95592,70.38232, 39.73735
springhinge2_world,6.118237,15.27746,20.9085
springhinge1,129.8282,81.50714, 42.31689
springhinge1_world,2.498806,14.79298,18.96918
body_back,204.0635,126.4359, 47.7043
body_back_world,-5.9145,11.234,14.90258
