name, x, y, z
lever1_hinge,163.0148,122.8124, 44.99995
lever1_hinge_world,-1.136519,11.509,16.7184
lever2_hinge,84.58672,81.86511, 42.42518
lever2_hinge_world,6.439652,14.91138,18.08097
ladle_hinge,84.88402,123.6433, 42.16203
ladle_hinge_world,6.386538,11.18936,18.07141
ladle_tip,107.258,134.7624, 42.86102
ladle_tip_world,4.327419,10.25412,17.70108
springhinge2,81.00861,67.66003, 42.35269
springhinge2_world,6.777401,16.15465,18.18336
springhinge1,126.7695,80.96907, 43.88891
springhinge1_world,2.485047,15.24572,17.41139
body_back,213.5366,126.9962, 46.50975
body_back_world,-6.370873,11.234,16.2139
