name, x, y, z
lever1_hinge,168.5657,128.1824, 45.0715
lever1_hinge_world,-1.177484,11.509,16.61481
lever2_hinge,91.82592,81.83217, 43.65886
lever2_hinge_world,6.162615,15.60649,17.02059
ladle_hinge,53.20987,94.6089, 42.70604
ladle_hinge_world,9.640599,14.29387,17.21286
ladle_tip,66.25917,116.7636, 42.82098
ladle_tip_world,8.455502,12.3335,17.14735
springhinge2,103.2492,74.19078, 43.93761
springhinge2_world,5.111153,16.35777,17.00353
springhinge1,134.5251,84.05415, 44.58476
springhinge1_world,2.142066,15.56969,16.83939
body_back,221.8575,131.8006, 45.89345
body_back_world,-6.434229,11.234,16.75487
