name, x, y, z
lever1_hinge,166.731,125.518, 44.94731
lever1_hinge_world,-1.12824,11.509,16.74518
lever2_hinge,90.72934,80.68542, 42.31585
lever2_hinge_world,6.252684,15.23821,18.30918
ladle_hinge,60.62189,107.8979, 41.05429
ladle_hinge_world,8.897676,12.67965,18.86965
ladle_tip,80.48679,125.1733, 41.63478
ladle_tip_world,7.144852,11.25086,18.49823
springhinge2,98.18018,68.96625, 42.63208
springhinge2_world,5.580811,16.33765,18.20872
springhinge1,132.5369,81.95309, 43.85662
springhinge1_world,2.310211,15.40033,17.51569
body_back,216.5957,129.801, 46.57012
body_back_world,-6.344534,11.234,16.0794
