name, x, y, z
lever1_hinge,162.3959,122.4681, 45.16068
lever1_hinge_world,-1.198959,11.509,16.57194
lever2_hinge,78.32309,91.4411, 43.75192
lever2_hinge_world,6.768293,14.22076,16.59128
ladle_hinge,90.63676,130.165, 43.72004
ladle_hinge_world,5.614001,10.68185,16.58848
ladle_tip,115.1899,128.2262, 44.1977
ladle_tip_world,3.332205,10.8944,16.58294
springhinge2,70.76411,79.38129, 43.65088
springhinge2_world,7.471349,15.30436,16.63398
springhinge1,120.9436,85.39102, 44.5658
springhinge1_world,2.80251,14.90676,16.62265
body_back,216.3905,125.9073, 45.7807
body_back_world,-6.440987,11.234,16.98922
