name, x, y, z
lever1_hinge,165.4518,121.8726, 44.94762
lever1_hinge_world,-1.126514,11.509,16.75116
lever2_hinge,87.03969,82.50232, 42.08813
lever2_hinge_world,6.472977,14.71949,18.41598
ladle_hinge,73.10266,121.6788, 41.33236
ladle_hinge_world,7.688724,11.21131,18.68231
ladle_tip,94.24646,136.2186, 42.01571
ladle_tip_world,5.791017,9.995708,18.26658
springhinge2,88.40121,68.07368, 42.18756
springhinge2_world,6.362617,16.00704,18.43377
springhinge1,128.8307,80.69174, 43.67594
springhinge1_world,2.555734,15.15316,17.5998
body_back,215.1028,126.1933, 46.62085
body_back_world,-6.338123,11.234,16.04965
