name, x, y, z
lever1_hinge,162.9346,123.9971, 45.07889
lever1_hinge_world,-1.163903,11.509,16.64526
lever2_hinge,80.40863,90.28871, 43.02633
lever2_hinge_world,6.721976,14.35777,17.37228
ladle_hinge,88.26135,130.8481, 42.95459
ladle_hinge_world,5.980247,10.71065,17.3039
ladle_tip,111.8503,124.0148, 43.63687
ladle_tip_world,3.798466,11.38234,17.10276
springhinge2,74.27899,77.17563, 42.91241
springhinge2_world,7.291313,15.51422,17.46595
springhinge1,122.9549,85.5538, 44.17844
springhinge1_world,2.758069,14.97526,17.04801
body_back,215.3484,127.8193, 46.15298
body_back_world,-6.422246,11.234,16.5923
