name, x, y, z
lever1_hinge,164.982,129.4833, 44.962
lever1_hinge_world,-1.128617,11.509,16.74389
lever2_hinge,98.31552,69.99236, 42.81303
lever2_hinge_world,5.405449,16.63227,18.1184
ladle_hinge,73.02145,100.6947, 41.64448
ladle_hinge_world,7.674303,13.72008,18.59567
ladle_tip,79.65409,126.1423, 41.68975
ladle_tip_world,7.063978,11.5149,18.46729
springhinge2,103.9566,57.45236, 43.08428
springhinge2_world,4.890741,17.81589,18.05202
springhinge1,138.9282,80.06792, 44.2739
springhinge1_world,1.505907,16.01045,17.33999
body_back,214.8411,133.7734, 46.59219
body_back_world,-6.345885,11.234,16.0858
