name, x, y, z
lever1_hinge,165.8297,126.2461, 44.95125
lever1_hinge_world,-1.12736,11.509,16.74821
lever2_hinge,90.35315,80.51372, 42.31056
lever2_hinge_world,6.210085,15.31584,18.32966
ladle_hinge,62.45367,110.0065, 41.09296
ladle_hinge_world,8.662247,12.56559,18.85818
ladle_tip,84.56088,123.7729, 41.78874
ladle_tip_world,6.705598,11.44958,18.43646
springhinge2,96.92663,68.21622, 42.60319
springhinge2_world,5.619305,16.46213,18.24427
springhinge1,132.102,82.29979, 43.86831
springhinge1_world,2.268967,15.43647,17.52217
body_back,215.5814,130.5499, 46.60005
body_back_world,-6.34131,11.234,16.06431
