name, x, y, z
lever1_hinge,168.1248,127.3116, 45.02521
lever1_hinge_world,-1.157324,11.509,16.66118
lever2_hinge,91.17909,81.87537, 43.16581
lever2_hinge_world,6.239539,15.43825,17.4849
ladle_hinge,53.80547,97.99586, 42.03902
ladle_hinge_world,9.57128,13.82018,17.85593
ladle_tip,70.00829,118.5011, 42.31779
ladle_tip_world,8.122885,12.05158,17.69463
springhinge2,101.8634,73.23634, 43.48758
springhinge2_world,5.261415,16.28026,17.41723
springhinge1,133.7004,83.54716, 44.31824
springhinge1_world,2.235506,15.49298,17.08027
body_back,220.3072,131.1733, 46.13811
body_back_world,-6.413716,11.234,16.50849
