name, x, y, z
lever1_hinge,163.1804,116.7575, 45.13388
lever1_hinge_world,-1.193207,11.509,16.58289
lever2_hinge,75.89044,97.28258, 43.4679
lever2_hinge_world,7.063629,13.13327,16.71532
ladle_hinge,91.9015,134.9305, 43.57017
ladle_hinge_world,5.580078,9.719357,16.69152
ladle_tip,116.5093,136.9134, 44.04972
ladle_tip_world,3.294225,9.560199,16.65486
springhinge2,67.16666,85.88979, 43.31998
springhinge2_world,7.865332,14.14553,16.76918
springhinge1,117.3999,85.40637, 44.32634
springhinge1_world,3.224786,14.34235,16.69475
body_back,216.9839,120.2509, 45.81979
body_back_world,-6.440429,11.234,16.92878
