name, x, y, z
lever1_hinge,164.0174,118.174, 44.89584
lever1_hinge_world,-1.112686,11.509,16.80616
lever2_hinge,82.0421,96.34612, 41.21665
lever2_hinge_world,6.840014,13.06782,19.0768
ladle_hinge,89.61696,138.7973, 41.30637
ladle_hinge_world,6.140685,9.41715,18.87713
ladle_tip,112.1945,130.5939, 42.34476
ladle_tip_world,4.065604,10.18839,18.28466
springhinge2,76.11237,82.46806, 40.99673
springhinge2_world,7.376802,14.22703,19.2727
springhinge1,121.9636,85.20474, 43.01414
springhinge1_world,3.146907,14.30726,18.06499
body_back,211.9408,122.7574, 46.89347
body_back_world,-6.270349,11.234,15.78074
