name, x, y, z
lever1_hinge,171.3467,114.9153, 44.7804
lever1_hinge_world,-1.103043,11.509,16.85728
lever2_hinge,92.51816,87.31982, 40.86002
lever2_hinge_world,6.61323,13.5229,19.54697
ladle_hinge,67.85414,120.9978, 39.5731
ladle_hinge_world,8.730379,10.55148,20.28496
ladle_tip,71.21679,148.448, 39.5942
ladle_tip_world,8.43029,8.28194,20.18036
springhinge2,97.89944,73.8652, 41.13676
springhinge2_world,6.140413,14.71956,19.42558
springhinge1,132.083,79.01392, 42.81052
springhinge1_world,2.924911,14.54866,18.30474
body_back,217.7697,119.6748, 46.98291
body_back_world,-6.193536,11.234,15.53824
