name, x, y, z
lever1_hinge,169.8912,115.5471, 44.76013
lever1_hinge_world,-1.098271,11.509,16.89144
lever2_hinge,93.08348,85.64627, 40.58603
lever2_hinge_world,6.472733,13.68009,19.85749
ladle_hinge,70.6526,121.0057, 39.30152
ladle_hinge_world,8.396925,10.58404,20.61132
ladle_tip,77.73177,147.7816, 39.51681
ladle_tip_world,7.781989,8.389584,20.37041
springhinge2,97.68881,71.77698, 40.84692
springhinge2_world,6.070025,14.90286,19.74376
springhinge1,132.1387,78.50717, 42.68118
springhinge1_world,2.816504,14.63061,18.46914
body_back,215.0741,120.4615, 47.15572
body_back_world,-6.135004,11.234,15.38006
