name, x, y, z
lever1_hinge,165.0779,115.7019, 45.07572
lever1_hinge_world,-1.174272,11.509,16.62175
lever2_hinge,79.44826,90.67462, 43.11262
lever2_hinge_world,6.963177,13.59326,17.14034
ladle_hinge,86.52624,131.2992, 43.05978
ladle_hinge_world,6.29882,9.930862,17.098
ladle_tip,105.8675,147.342, 43.43005
ladle_tip_world,4.516269,8.495102,16.9844
springhinge2,73.53334,77.49939, 43.00329
springhinge2_world,7.509803,14.7619,17.21626
springhinge1,121.4869,81.45422, 44.13349
springhinge1_world,3.068091,14.58543,16.9332
body_back,218.105,119.3869, 45.98769
body_back_world,-6.432009,11.234,16.71755
