name, x, y, z
lever1_hinge,163.0046,120.0419, 45.09584
lever1_hinge_world,-1.172925,11.509,16.6247
lever2_hinge,79.77745,87.51634, 43.19333
lever2_hinge_world,6.756765,14.27778,17.15852
ladle_hinge,89.81369,127.4417, 43.1893
ladle_hinge_world,5.817595,10.67636,17.09529
ladle_tip,112.3817,137.9054, 43.6786
ladle_tip_world,3.723227,9.756822,16.9543
springhinge2,72.93552,74.80058, 43.0645
springhinge2_world,7.38989,15.40137,17.24223
springhinge1,122.3836,82.16331, 44.24734
springhinge1_world,2.792469,14.93534,16.93274
body_back,215.9001,123.758, 46.04543
body_back_world,-6.430971,11.234,16.70172
