name, x, y, z
lever1_hinge,161.5144,125.7299, 44.75245
lever1_hinge_world,-1.092041,11.509,16.97738
lever2_hinge,100.013,67.78598, 40.74702
lever2_hinge_world,5.211056,16.08474,20.16559
ladle_hinge,95.31796,110.4108, 40.15629
ladle_hinge_world,5.621686,12.39089,20.3733
ladle_tip,106.7553,134.2297, 40.73684
ladle_tip_world,4.554674,10.4359,19.83358
springhinge2,98.67598,52.63177, 40.71178
springhinge2_world,5.349263,17.36449,20.28145
springhinge1,136.6116,76.77959, 43.18041
springhinge1_world,1.611464,15.78128,18.39081
body_back,203.278,131.0399, 47.64684
body_back_world,-5.962888,11.234,14.99551
