name, x, y, z
lever1_hinge,166.452,125.1595, 44.77955
lever1_hinge_world,-1.09588,11.509,16.91359
lever2_hinge,99.63019,72.11267, 41.07936
lever2_hinge_world,5.614985,15.73256,19.73441
ladle_hinge,75.73983,104.1776, 39.57526
ladle_hinge_world,7.713346,12.78718,20.61642
ladle_tip,82.08752,131.0619, 39.73706
ladle_tip_world,7.146723,10.57947,20.37825
springhinge2,104.9169,59.11224, 41.4202
springhinge2_world,5.137982,16.92353,19.57838
springhinge1,138.1961,78.09567, 43.27169
springhinge1_world,1.890232,15.62642,18.21324
body_back,210.7485,130.1855, 47.31274
body_back_world,-6.094032,11.234,15.27913
