name, x, y, z
lever1_hinge,171.5117,117.8599, 44.83063
lever1_hinge_world,-1.111319,11.509,16.81253
lever2_hinge,92.88489,83.69016, 41.41343
lever2_hinge_world,6.551334,14.16686,19.05989
ladle_hinge,68.13831,116.8633, 40.21148
ladle_hinge_world,8.695797,11.18994,19.68884
ladle_tip,68.36649,144.0919, 40.07828
ladle_tip_world,8.657272,8.898613,19.67754
springhinge2,98.26286,70.40298, 41.67352
springhinge2_world,6.075846,15.36471,18.96317
springhinge1,133.6359,78.94179, 43.20602
springhinge1_world,2.738927,14.87963,17.98449
body_back,219.4343,122.4197, 46.78743
body_back_world,-6.261497,11.234,15.75015
