name, x, y, z
lever1_hinge,162.159,121.0209, 45.0746
lever1_hinge_world,-1.161407,11.509,16.6512
lever2_hinge,77.07318,95.52051, 42.81283
lever2_hinge_world,6.952844,13.5923,17.45737
ladle_hinge,97.77494,131.4397, 43.15081
ladle_hinge_world,5.041894,10.40349,17.26752
ladle_tip,120.9365,124.2133, 43.84666
ladle_tip_world,2.872602,11.11026,17.05199
springhinge2,66.95694,85.02612, 42.56382
springhinge2_world,7.873009,14.49008,17.58999
springhinge1,119.0185,86.52271, 43.99913
springhinge1_world,3.06764,14.58493,17.11257
body_back,214.407,124.88, 46.19551
body_back_world,-6.419243,11.234,16.56094
