name, x, y, z
lever1_hinge,167.4531,117.3292, 44.73077
lever1_hinge_world,-1.093414,11.509,16.94521
lever2_hinge,93.15128,87.84172, 40.10732
lever2_hinge_world,6.312703,13.57544,20.36726
ladle_hinge,67.50827,120.2068, 38.51953
ladle_hinge_world,8.496337,10.73466,21.37622
ladle_tip,86.94289,137.9236, 39.49556
ladle_tip_world,6.837017,9.352402,20.60952
springhinge2,99.04386,74.67659, 40.47255
springhinge2_world,5.79361,14.74288,20.17257
springhinge1,130.9427,80.42351, 42.41267
springhinge1_world,2.756798,14.57613,18.76939
body_back,210.587,122.4788, 47.42121
body_back_world,-6.031452,11.234,15.13724
