name, x, y, z
lever1_hinge,162.8381,120.9553, 44.70903
lever1_hinge_world,-1.091804,11.509,17.00895
lever2_hinge,94.08456,83.58298, 39.7478
lever2_hinge_world,5.901498,14.17661,20.85716
ladle_hinge,88.70578,127.4571, 39.14264
ladle_hinge_world,6.358828,10.49098,21.10882
ladle_tip,110.5569,131.4643, 40.59821
ladle_tip_world,4.361378,10.25883,20.00968
springhinge2,92.95885,68.03906, 39.71035
springhinge2_world,6.016789,15.45912,20.9674
springhinge1,130.5231,80.40076, 42.32685
springhinge1_world,2.410706,14.88455,18.98308
body_back,203.3639,126.3786, 47.7471
body_back_world,-5.890829,11.234,14.85899
