name, x, y, z
lever1_hinge,162.549,115.2543, 45.09726
lever1_hinge_world,-1.176341,11.509,16.61727
lever2_hinge,75.42917,96.45424, 43.06702
lever2_hinge_world,7.088122,13.02487,17.09884
ladle_hinge,97.99423,130.9497, 43.4153
ladle_hinge_world,5.009408,9.939328,16.97771
ladle_tip,121.1158,139.3846, 43.92563
ladle_tip_world,2.846457,9.192628,16.85168
springhinge2,64.75641,86.63597, 42.8289
springhinge2_world,8.057917,13.87356,17.19642
springhinge1,116.7889,84.17184, 44.08255
springhinge1_world,3.269712,14.28417,16.91741
body_back,215.6036,118.9366, 46.00884
body_back_world,-6.43348,11.234,16.74166
