name, x, y, z
lever1_hinge,165.7457,119.4654, 44.86323
lever1_hinge_world,-1.108123,11.509,16.82838
lever2_hinge,89.07031,81.22977, 41.32469
lever2_hinge_world,6.399871,14.50038,19.17631
ladle_hinge,79.48242,122.5562, 40.66088
ladle_hinge_world,7.227509,10.88039,19.43513
ladle_tip,95.96158,142.7289, 41.28136
ladle_tip_world,5.749219,9.191385,18.97284
springhinge2,89.00183,66.35364, 41.36276
springhinge2_world,6.418698,15.79172,19.22516
springhinge1,129.7213,78.70193, 43.22528
springhinge1_world,2.581942,15.04593,18.02531
body_back,212.9918,124.1348, 46.96286
body_back_world,-6.238575,11.234,15.67449
