name, x, y, z
lever1_hinge,170.2953,120.0309, 45.09047
lever1_hinge_world,-1.195349,11.509,16.57877
lever2_hinge,87.10442,86.71941, 43.76036
lever2_hinge_world,6.694282,14.43772,16.66498
ladle_hinge,60.33255,117.1419, 43.09348
ladle_hinge_world,9.098315,11.59585,16.69125
ladle_tip,70.64041,140.3681, 43.13077
ladle_tip_world,8.154854,9.507414,16.68094
springhinge2,93.22412,74.23869, 43.90953
springhinge2_world,6.141512,15.60542,16.69994
springhinge1,129.8041,81.81522, 44.5357
springhinge1_world,2.711092,15.01496,16.66246
body_back,224.4025,123.4415, 45.67031
body_back_world,-6.440735,11.234,16.95147
