name, x, y, z
lever1_hinge,163.642,129.3271, 44.9238
lever1_hinge_world,-1.11628,11.509,16.79038
lever2_hinge,98.46883,68.82712, 42.44275
lever2_hinge_world,5.325142,16.64669,18.50601
ladle_hinge,76.87094,102.4103, 41.27752
ladle_hinge_world,7.259216,13.50817,19.02114
ladle_tip,86.6646,127.0183, 41.49655
ladle_tip_world,6.367421,11.41053,18.78362
springhinge2,102.7632,55.58401, 42.68919
springhinge2_world,4.936928,17.87789,18.44504
springhinge1,138.3723,79.53392, 44.10404
springhinge1_world,1.473584,16.01627,17.5226
body_back,212.063,133.8413, 46.82853
body_back_world,-6.291395,11.234,15.85702
