name, x, y, z
lever1_hinge,158.6593,127.7182, 44.92105
lever1_hinge_world,-1.108752,11.509,16.82514
lever2_hinge,88.63258,75.38881, 41.77644
lever2_hinge_world,5.812162,15.79459,18.96192
ladle_hinge,100.5298,116.2696, 42.04081
ladle_hinge_world,4.690478,12.26214,18.6156
ladle_tip,122.8233,123.2592, 43.08042
ladle_tip_world,2.556284,11.74944,17.95669
springhinge2,81.45975,62.26163, 41.48995
springhinge2_world,6.477671,16.87426,19.21029
springhinge1,128.983,81.03104, 43.68049
springhinge1_world,1.956929,15.65408,17.81455
body_back,205.844,132.4218, 47.0665
body_back_world,-6.243361,11.234,15.6899
