name, x, y, z
lever1_hinge,172.4539,116.8932, 45.00962
lever1_hinge_world,-1.170099,11.509,16.63099
lever2_hinge,86.76141,92.68567, 43.07644
lever2_hinge_world,6.97948,13.51957,17.24181
ladle_hinge,52.60562,115.7231, 42.17365
ladle_hinge_world,10.00703,11.36579,17.46873
ladle_tip,62.45302,139.751, 42.26257
ladle_tip_world,9.123576,9.252278,17.40251
springhinge2,95.90849,82.0582, 43.30832
springhinge2_world,6.153031,14.51297,17.22098
springhinge1,128.6139,83.03343, 44.08364
springhinge1_world,3.096039,14.54691,16.99186
body_back,225.5002,120.5664, 45.89874
body_back_world,-6.428578,11.234,16.66808
