name, x, y, z
lever1_hinge,164.0575,115.4462, 44.90313
lever1_hinge_world,-1.1157,11.509,16.79284
lever2_hinge,81.47211,94.2623, 41.31899
lever2_hinge_world,6.877756,13.0259,18.94571
ladle_hinge,87.86929,136.813, 41.36802
ladle_hinge_world,6.285607,9.354353,18.78622
ladle_tip,111.7003,141.0919, 42.35422
ladle_tip_world,4.096813,9.017507,18.19672
springhinge2,75.90363,80.26059, 41.11693
springhinge2_world,7.38231,14.20229,19.12406
springhinge1,121.5345,82.8062, 43.05655
springhinge1_world,3.175969,14.28473,17.99117
body_back,212.4053,119.9705, 46.82955
body_back_world,-6.288195,11.234,15.84507
