name, x, y, z
lever1_hinge,170.3583,133.1937, 44.87421
lever1_hinge_world,-1.117238,11.509,16.78639
lever2_hinge,104.3848,73.71468, 42.51659
lever2_hinge_world,5.386965,16.57195,18.48726
ladle_hinge,65.03698,79.08144, 40.89525
ladle_hinge_world,8.904252,15.77258,19.40704
ladle_tip,51.75177,101.2075, 40.21751
ladle_tip_world,10.00505,13.78332,19.6949
springhinge2,116.3838,68.29793, 43.02486
springhinge2_world,4.266227,17.16473,18.23656
springhinge1,144.4291,83.75533, 44.11227
springhinge1_world,1.524427,15.98595,17.51957
body_back,219.099,137.6429, 46.68469
body_back_world,-6.296522,11.234,15.87644
