name, x, y, z
lever1_hinge,169.8362,118.9636, 44.96003
lever1_hinge_world,-1.1419,11.509,16.7024
lever2_hinge,87.44559,87.42218, 42.42939
lever2_hinge_world,6.769095,14.08397,17.97394
ladle_hinge,59.04523,117.2635, 41.39145
ladle_hinge_world,9.25868,11.3457,18.37409
ladle_tip,73.82014,139.0831, 41.71049
ladle_tip_world,7.953376,9.473811,18.16429
springhinge2,94.16174,75.00729, 42.67169
springhinge2_world,6.169243,15.22741,17.91905
springhinge1,129.4387,81.43068, 43.77731
springhinge1_world,2.859315,14.83776,17.38704
body_back,220.9941,123.0184, 46.30757
body_back_world,-6.384724,11.234,16.29524
