name, x, y, z
lever1_hinge,164.434,129.3913, 44.94929
lever1_hinge_world,-1.12403,11.509,16.76005
lever2_hinge,97.67924,70.2951, 42.6527
lever2_hinge_world,5.433677,16.56446,18.26667
ladle_hinge,72.56822,101.1843, 41.44751
ladle_hinge_world,7.680583,13.64193,18.78289
ladle_tip,82.6044,125.6112, 41.64162
ladle_tip_world,6.769596,11.54954,18.57359
springhinge2,103.2587,57.69997, 42.93139
springhinge2_world,4.925455,17.75039,18.19197
springhinge1,138.1712,80.11725, 44.19135
springhinge1_world,1.543263,15.9829,17.41492
body_back,213.8022,133.761, 46.6768
body_back_world,-6.328238,11.234,16.0056
