name, x, y, z
lever1_hinge,166.2679,119.8579, 44.92772
lever1_hinge_world,-1.123538,11.509,16.76185
lever2_hinge,85.51709,87.59312, 41.83463
lever2_hinge_world,6.689756,14.05853,18.57389
ladle_hinge,69.6928,126.3446, 41.01855
ladle_hinge_world,8.062725,10.61326,18.8923
ladle_tip,93.09663,136.5049, 41.83226
ladle_tip_world,5.981017,9.785484,18.40952
springhinge2,87.54243,73.18021, 41.95425
springhinge2_world,6.51987,15.33971,18.57658
springhinge1,126.9219,81.9187, 43.46251
springhinge1_world,2.831684,14.82485,17.72122
body_back,215.6234,124.223, 46.65479
body_back_world,-6.326181,11.234,15.99669
