name, x, y, z
lever1_hinge,169.4964,118.7284, 44.74942
lever1_hinge_world,-1.095994,11.509,16.9124
lever2_hinge,94.43983,85.88971, 40.47909
lever2_hinge_world,6.343678,13.91219,20.02802
ladle_hinge,61.64219,109.1894, 38.66711
ladle_hinge_world,9.137247,11.74803,21.19792
ladle_tip,74.42523,133.9312, 39.17708
ladle_tip_world,8.056816,9.778325,20.74545
springhinge2,103.1033,75.13066, 40.9647
springhinge2_world,5.569376,14.90841,19.7482
springhinge1,133.1927,80.31114, 42.66575
springhinge1_world,2.69701,14.75027,18.5453
body_back,213.9077,123.7315, 47.25369
body_back_world,-6.096298,11.234,15.28453
