name, x, y, z
lever1_hinge,159.3592,131.5073, 44.87038
lever1_hinge_world,-1.101081,11.509,16.87021
lever2_hinge,94.20204,73.54135, 41.65933
lever2_hinge_world,5.42396,16.26175,19.25061
ladle_hinge,89.77344,115.3857, 41.09793
ladle_hinge_world,5.801849,12.56115,19.38847
ladle_tip,112.7385,114.7554, 42.3199
ladle_tip_world,3.657426,12.76424,18.60616
springhinge2,92.53282,58.78708, 41.64217
springhinge2_world,5.593709,17.5386,19.35618
springhinge1,133.1554,82.6373, 43.69637
springhinge1_world,1.648222,15.85699,17.91683
body_back,205.049,136.3998, 47.24283
body_back_world,-6.172049,11.234,15.478
