name, x, y, z
lever1_hinge,159.122,131.8643, 45.07822
lever1_hinge_world,-1.154142,11.509,16.66921
lever2_hinge,89.93452,74.71826, 43.38235
lever2_hinge_world,5.552537,16.52827,17.48067
ladle_hinge,85.84856,115.0878, 42.91898
ladle_hinge_world,5.898879,12.82225,17.52257
ladle_tip,110.1429,118.7608, 43.62785
ladle_tip_world,3.637117,12.57456,17.24892
springhinge2,87.86205,60.66203, 43.39564
springhinge2_world,5.760095,17.80216,17.54708
springhinge1,131.5183,83.38451, 44.57172
springhinge1_world,1.591054,15.96809,17.04266
body_back,210.8543,135.8383, 46.33172
body_back_world,-6.408846,11.234,16.46656
