name, x, y, z
lever1_hinge,165.5671,113.1203, 44.68221
lever1_hinge_world,-1.09176,11.509,16.99939
lever2_hinge,93.24208,88.88982, 39.52449
lever2_hinge_world,6.197107,13.05939,20.91089
ladle_hinge,84.6954,132.4003, 38.79378
ladle_hinge_world,6.928198,9.430633,21.30323
ladle_tip,101.9168,150.9213, 39.81198
ladle_tip_world,5.396277,7.937586,20.48113
springhinge2,93.13899,73.28743, 39.53656
springhinge2_world,6.218158,14.35032,20.96872
springhinge1,129.2161,78.60284, 41.99004
springhinge1_world,2.804965,14.30274,19.13706
body_back,206.5371,118.4951, 47.65829
body_back_world,-5.913144,11.234,14.90005
