name, x, y, z
lever1_hinge,165.4375,120.3633, 44.85464
lever1_hinge_world,-1.105862,11.509,16.84057
lever2_hinge,87.1453,88.40923, 41.08684
lever2_hinge_world,6.555827,13.92202,19.35195
ladle_hinge,73.5396,128.6644, 40.23526
ladle_hinge_world,7.725528,10.40903,19.73536
ladle_tip,97.95086,132.3091, 41.332
ladle_tip_world,5.559625,10.17105,19.02541
springhinge2,88.48265,73.62146, 41.19127
springhinge2_world,6.448988,15.20996,19.36007
springhinge1,127.3208,82.47083, 43.03439
springhinge1_world,2.801545,14.7553,18.1645
body_back,212.2701,125.0879, 47.02198
body_back_world,-6.220076,11.234,15.61673
